prefix_id,trace,cut,attempted,succeeded,err,p_C,p_E,distribution
rs0823_cut000,shared,0,25,25,0,0.12,0.8,"{""E"": 20, ""C"": 3, ""A"": 1, ""?"": 1}"
rs0823_e036_cut060,e036,60,25,25,0,0.04,0.96,"{""E"": 24, ""C"": 1}"
rs0823_e036_cut061,e036,61,25,25,0,0.04,0.96,"{""E"": 24, ""C"": 1}"
rs0823_e036_cut062,e036,62,25,25,0,0.0,1.0,"{""E"": 25}"
rs0823_e036_cut063,e036,63,25,25,0,0.0,1.0,"{""E"": 25}"
rs0823_e036_cut064,e036,64,25,25,0,0.0,1.0,"{""E"": 25}"
rs0823_e036_cut065,e036,65,25,25,0,0.08,0.92,"{""E"": 23, ""C"": 2}"
rs0823_c004_cut015,c004,15,25,25,0,0.36,0.28,"{""C"": 9, ""?"": 8, ""E"": 7, ""B"": 1}"
rs0823_c004_cut029,c004,29,25,25,0,0.16,0.32,"{""?"": 9, ""E"": 8, ""C"": 4, ""D,E"": 3, ""A"": 1}"
rs0823_c004_cut044,c004,44,25,25,0,0.64,0.16,"{""C"": 16, ""E"": 4, ""B"": 2, ""D,E"": 2, ""?"": 1}"
rs0823_c004_cut058,c004,58,25,25,0,0.48,0.16,"{""C"": 12, ""?"": 6, ""E"": 4, ""D,E"": 1, ""B"": 1, ""A"": 1}"
rs0823_c004_cut059,c004,59,25,25,0,0.56,0.12,"{""C"": 14, ""?"": 6, ""E"": 3, ""B"": 2}"
rs0823_c004_cut060,c004,60,25,25,0,0.84,0.04,"{""C"": 21, ""?"": 3, ""E"": 1}"
rs0823_c004_cut061,c004,61,25,25,0,0.84,0.04,"{""C"": 21, ""?"": 3, ""E"": 1}"
rs0823_c004_cut062,c004,62,25,25,0,1.0,0.0,"{""C"": 25}"
rs0823_c004_cut063,c004,63,25,25,0,0.92,0.0,"{""C"": 23, ""?"": 2}"
rs0823_c004_cut064,c004,64,25,25,0,0.84,0.0,"{""C"": 21, ""?"": 2, ""B"": 2}"
rs0823_c004_cut067,c004,67,25,25,0,0.96,0.0,"{""C"": 24, ""?"": 1}"
rs0823_c004_cut068,c004,68,25,25,0,1.0,0.0,"{""C"": 25}"
rs0823_c004_cut069,c004,69,25,25,0,0.92,0.0,"{""C"": 23, ""?"": 2}"
