prefix_id,trace_arm,cut,last_node_label,n,n_labeled,n_failed,next_Planning,next_Reasoning,next_Reflection,next_Knowledge,next_Restatement,next_Assumption,next_Example,next_Conclusion,opens_block,first_is_wait
rs0823_cut000,shared,0,,25,25,0,25,0,0,0,0,0,0,0,25,0
rs0823_c004_cut015,c004,15,Reasoning,25,24,1,5,19,0,0,0,0,0,0,0,0
rs0823_c004_cut029,c004,29,Reasoning,25,24,1,0,24,0,0,0,0,0,0,0,0
rs0823_c004_cut044,c004,44,Reasoning,25,25,0,21,3,0,0,0,0,1,0,15,2
rs0823_c004_cut058,c004,58,Reasoning,25,25,0,0,25,0,0,0,0,0,0,0,0
rs0823_c004_cut059,c004,59,Reasoning,25,25,0,5,20,0,0,0,0,0,0,0,0
rs0823_c004_cut060,c004,60,Reasoning,25,24,1,18,1,0,0,5,0,0,0,0,0
rs0823_c004_cut061,c004,61,Planning,25,25,0,0,7,18,0,0,0,0,0,0,0
rs0823_c004_cut062,c004,62,Reflection,25,25,0,3,15,2,0,3,0,0,2,0,0
rs0823_c004_cut063,c004,63,Reasoning,25,25,0,0,22,0,1,0,0,0,2,0,0
rs0823_c004_cut064,c004,64,Reasoning,25,25,0,25,0,0,0,0,0,0,0,0,0
rs0823_c004_cut067,c004,67,Planning,25,24,1,0,9,15,0,0,0,0,0,0,0
rs0823_c004_cut068,c004,68,Reasoning,25,25,0,4,13,8,0,0,0,0,0,0,0
rs0823_c004_cut069,c004,69,Reasoning,25,25,0,25,0,0,0,0,0,0,0,1,0
rs0823_e036_cut060,e036,60,Conclusion,25,25,0,0,24,1,0,0,0,0,0,0,0
rs0823_e036_cut061,e036,61,Reasoning,25,25,0,0,9,0,6,10,0,0,0,0,0
rs0823_e036_cut062,e036,62,Restatement,25,25,0,0,23,2,0,0,0,0,0,0,0
rs0823_e036_cut063,e036,63,Reasoning,25,25,0,0,17,7,1,0,0,0,0,0,0
rs0823_e036_cut064,e036,64,Reasoning,25,25,0,25,0,0,0,0,0,0,0,25,25
rs0823_e036_cut065,e036,65,Planning,25,25,0,0,23,0,2,0,0,0,0,0,0
