0-5 Ex.nel.al
6-8 Pl.gp
9 Kn.wk
10 Rs.rae
11 Re.lr
12 Pl.iv.wdm
13 Pl.lp
14-16 Kn.wk.fpc
17 Pl.lp
18-20 Rs.rtp.qt
21 Rs.rae
22 Co.ic
23-24 Pl.gp
25 Rs.rtp.ot
26-27 Re.oe.A
28 Rs.rtp.ot
29 Re.hwa.mr
30 Rs.rtp.ot
31 Re.oe.C
32 Rs.rtp.ot
33 Rf.meo.D
34 Rs.rtp.ot
35 Re.oe.E
36 Re.lr.al
37 Co.ic
38 Rs.rtp.ot
39-40 Re.oe.F
41-42 Pl.gp
43 Re.oe.E
44 Re.oe.A
45 Pl.gp
46 Rs.rtp.ot
47 Re.sp.iot
48 Rs.rtp.ot
49 Pl.gp
50 Re.cr
51 Kn.sk.ro
52-53 Rs.rae
54 Pl.lp
55 Rs.rtp.ot
56 Pl.lp
57 Kn.wk.fpc
58 As.bcs.al
59-60 Re.ca.al
61 As.bcs.al
62-63 Re.ca.al
64-65 Re.lr.al
66 Co.ic
67 Re.cr
68 Pl.gp
69 Pl.lp
70-71 Kn.wk.fpc
72 Pl.lp
73-74 Rs.rtp.qt
75 Rs.rae
76 Re.oe.A
77 Re.oe.E
78 Pl.lp+Rs.rtp.ot
79 Rf.meo.C
80 Re.oe.C
81 Pl.lp+Rs.rtp.ot
82 As.bcs.al
83 Re.lr
84 Re.oe.F
85 Pl.gp
86-87 Rs.rae
88-89 Kn.wk.fpc
90-91 Re.oe.E
92-93 Re.lr
94 Kn.rot
95 Pl.gp
96 Pl.iv.wdm
97-100 Re.lr
101 Pl.gp
102 Re.sp.iot
103 Pl.lp
104 Rs.rtp.ot
105 Re.oe.C
106 Rf.meo.E
107-108 Pl.gp
109-110 Re.sp
111-112 Re.sp
113 Kn.wk.fpc
114 Re.cr
115 Re.oe.C
116 Re.oe.E
117 Pl.iv
118-121 Re.lr
122 Pl.gp
123 Rs.rtp.ot
124 Rf.meo.C
125 Rs.rtp.ot
126 Rf.meo.C
127 Rs.rtp.ot
128 Rf.meo.E
129 Re.cr
130 Re.oe.A
131 Pl.gp
132 Rs.rtp.qt
133 Re.oe.E
134 Re.oe.C
135 Pl.gp
136-141 Rs.rtp.ot
142 Re.oe.A
143 Re.oe.E
144 Re.oe.C
145 Pl.gp
146-147 Kn.wk
148-149 Rs.rtp.qt
150 Pl.lp
151 Rs.rae
152 Co.ic
153 Rf.meo.C
154 Re.oe.C
155 Re.co.ovo
156 Re.sp.iot
157-158 Re.oe.A
159 Re.oe.C
160 Re.oe.E
161 Pl.iv
162 Kn.cod.wp
163 Re.lr
164-165 Rs.rtp.ot
166 Pl.gp
167 Rf.meo.E
168 Rf.meo.C
169 Re.lr
170 Kn.rot
171 Pl.iv
172 Re.lr
173 Pl.iv
174 Re.sp.iot
175 Pl.gp
176 Re.oe.A
177 Re.oe.E
178 Pl.iv.wdm
179 Rs.rtp.ot
180 Rf.meo.C
181 Re.oe.C
182 Re.oe.C
183 Re.oe.E
184 Pl.gp
185 Pl.lp
186-187 Re.lr
188-189 Re.sp
190 Pl.gp
191 Rs.rtp.ot
192 Kn.cod.wp
193 Re.lr
194 Co.ic
195 Co.ic
196 Pl.iv
197 Rf.meo.C
198 Rs.rtp.ot
199 Rf.meo.E
200 Rs.rtp.ot
201 Pl.gp
202 Re.oe.E
203 Kn.sk.ro
204 Re.oe.A
205 Rs.rae
206 Pl.iv.wdm
207 Pl.lp
208-209 Kn.wk.fpc
210-212 Re.ca.al
213 Co.ic
214 Rs.rtp.ot
215 Re.oe.A
216-217 Rs.rae
218-219 Co.ic
220-221 Rs.rae
222 Pl.gp
223 Rf.meo.E
224 Kn.cod.wp
225 Rf.meo.C
226 Pl.iv
227 Kn.rot
228 Kn.cod.wp
229 Pl.iv
230-231 Re.lr
232 Re.ca.al
233 Pl.gp
234 Re.sp.iot
235 Pl.gp
236 Re.oe.A
237 Re.oe.E
