m,s_cut,last_node,last_node_label,source_next_node,source_next_label,next_opener_rule
0,7,Rs₀(5),Restatement,Pl₁(2),Planning,R1
1,12,Rs₁,Restatement,Pl₂(2),Planning,R1
2,14,Pl₂(2),Planning,As₃,Assumption,R2
3,22,Re₃(7),Reasoning,As₄,Assumption,R2
4,30,Re₄(7),Reasoning,As₅,Assumption,R2
5,35,Re₅(4),Reasoning,Pl₆(2),Planning,R1
6,41,Re₆(2),Reasoning,[Pl+Kn]₇,Planning,R4
7,42,[Pl+Kn]₇,Planning,[Pl+Rs]₈,Planning,R1
8,57,Ex₈(10),Example,Pl₉¹(3),Planning,R1
9,78,Rf₉³,Reflection,Pl₁₀¹(3),Planning,R1
10,97,Re₁₀⁴,Reasoning,Pl₁₁(3),Planning,R1
11,106,Re₁₁(6),Reasoning,Pl₁₂,Planning,R1
12,113,Co₁₂,Conclusion,[Pl+Rs]₁₃,Planning,R1
13,115,Re₁₃,Reasoning,Pl₁₄,Planning,R1
14,119,Re₁₄(2),Reasoning,Pl₁₅,Planning,R1
15,131,Re₁₅(8),Reasoning,Pl₁₆,Planning,R1
16,136,Rf₁₆,Reflection,Pl₁₇,Planning,R4
17,143,Re₁₇(6),Reasoning,Pl₁₈,Planning,R1
18,147,Re₁₈(2),Reasoning,Pl₁₉,Planning,R1
19,159,Co₁₉,Conclusion,[Pl+Re]₂₀,Planning,R1
20,165,Co₂₀,Conclusion,Pl₂₁,Planning,R1
21,170,Re₂₁,Reasoning,Pl₂₂,Planning,R1
22,186,Rs₂₂(15),Restatement,Pl₂₃,Planning,R1
23,189,Rf₂₃,Reflection,Pl₂₄,Planning,R1
24,192,Re₂₄(2),Reasoning,Pl₂₅,Planning,R1
25,198,Re₂₅(4),Reasoning,Pl₂₆,Planning,R1
26,201,Co₂₆(2),Conclusion,Pl₂₇,Planning,R1
27,208,Re₂₇²(4),Reasoning,Pl₂₈,Planning,R1
28,215,Re₂₈(6),Reasoning,As₂₉,Assumption,R2
29,226,Co₂₉,Conclusion,[Pl+Rs]₃₀,Planning,R1
30,228,Co₃₀,Conclusion,Pl₃₁¹(3),Planning,R1
31,253,Co₃₁,Conclusion,Pl₃₂,Planning,R4
32,262,Re₃₂(6),Reasoning,Pl₃₃,Planning,R1
33,265,Re₃₃(2),Reasoning,Pl₃₄¹,Planning,R1
34,276,Rf₃₄,Reflection,Pl₃₅,Planning,R1
35,287,Co₃₅,Conclusion,Pl₃₆,Planning,R4
36,301,Co₃₆,Conclusion,Pl₃₇¹(3),Planning,R1
37,324,Co₃₇,Conclusion,Pl₃₈,Planning,R1
38,329,Re₃₈(4),Reasoning,Pl₃₉¹,Planning,R1
39,339,Rs₃₉³(5),Restatement,Pl₄₀,Planning,R4
40,341,Re₄₀,Reasoning,Pl₄₁,Planning,R1
41,343,Re₄₁,Reasoning,Pl₄₂,Planning,R1
42,351,Co₄₂,Conclusion,Pl₄₃,Planning,R4
43,355,Kn₄₃,Knowledge,As₄₄,Assumption,R2
44,361,Re₄₄,Reasoning,Pl₄₅¹,Planning,R1
45,373,Co₄₅,Conclusion,Co₄₆,Conclusion,R3
