0-3 As.bcs.al+Re.ca.al
Wait, let me output properly using run-length format.

0 As.bcs.al
1-3 Re.ca.al
4 Re.lr.al
5 Re.ca.al
6-7 Re.lr.al
8 As.bcs.al
9-10 Re.ca.al
11-12 Re.lr.al
13-14 Re.ds.al
15 Pl.lp
16 Re.ca.al
17 Pl.lp
18 Re.ca.al
19 Co.ic
20-21 Pl.gp
22 Kn.wk.fpc
23 Pl.lp
24-26 Kn.wk.fpc
27 As.bcs.al
28 Pl.lp
29-31 Re.ca.al
32 Re.co.pvo
33 Rs.rtp.qt
34-35 Pl.gp
36 Rs.rtp.ot
37 Re.oe.A
38 Rs.rae
39 Rs.rtp.ot
40 Re.hwa.mr
41 Re.oe.B
42 Rs.rtp.ot
43 Re.oe.C
44 Rs.rtp.ot
45 Rf.meo.D
46 Rs.rtp.ot
47 Re.oe.E
48 Re.lr.al
49 Rs.rtp.ot
50 Re.co.ovo
51-53 Pl.gp
54 Rs.rae
55 Co.ic
56 Re.sp.iot
57 Re.lr
58 Re.co.ovo
59 Kn.cod.wp
60 Re.lr
61 Pl.iv
62-64 Rs.rtp.qt
65 Re.oe.A
66 Re.oe.E
67 Pl.iv
68 Re.sp
69 Re.lr
70 Pl.lp
71 Re.co.ovo
72 Re.oe.E
73 Pl.iv.wdm
74 As.bcs
75 Co.ic
76 As.bcs
77 Co.ic
78 Kn.sk.ec
79 Rs.rae
80 Pl.lp
81 Re.oe.A
82 Rf.meo.B
83 Rs.rtp.ot
84 Rf.meo.C
85 Re.oe.C
86 Re.oe.E
87 Pl.lp
88 Rs.rtp.ot
89 Rf.meo.C
90 Rs.rtp.ot
91 Re.oe.C
92 Re.hwa.un
93 Re.lr
94 Rs.rtp.ot
95 Re.oe.E
96-97 Co.ic
98 Pl.gp
99-100 As.bcs
101 Re.sp
102 Re.lr
103 Pl.iv
104 Re.sp
105 Re.lr
106 Re.sp
107 As.bcs.al
108 Re.ca.al
109 As.bcs.al
110 Re.ca.al
111 Re.lr.al
112 Re.sp.iot
113-114 Re.lr
115 Pl.lp
116 As.bcs.al
117-118 Re.oe.F
119 Re.oe.E
120 Pl.iv
121 Re.lr
122 Pl.iv
123 Pl.lp
124-126 Kn.wk.fpc
127 Pl.lp
128-130 Rs.rtp.qt
131 Pl.lp
132-133 Re.ds.al
134 Co.ic
135 Pl.iv
136 Rs.rtp.qt
137-138 Re.lr
139 Co.ic
140 Re.oe.C
141 Re.oe.E
142 Pl.lp
143-144 Rs.rtp.ot
145-147 Re.sp.iot
148 Pl.lp
149 Re.lr
150 Rf.meo.E
151 Pl.gp
152-158 Re.ds.al
159-160 Pl.lp
161-163 Re.ca.al
164-167 Co.ic
168-169 Re.lr
170-171 Co.ic
172 Re.oe.F
173 Re.oe.E
174 Re.co.ovo
175 Pl.iv.wdm+Rs.rtp.ot
176 Rf.meo.C
177 Rs.rtp.ot
178 Re.oe.C
179 Re.hwa.un
180 Re.lr
181 Re.hwa.mr
182 Re.sp.iot
183 As.bcs
184 Re.lr
185 Pl.lp
186 Re.co.ovo
187 Pl.iv
188 Re.sp
189 Re.lr
190 Re.sp
191 Re.lr
192 Co.ic
193 Pl.gp
194 Kn.wk.fpc
195 Kn.co
196 Kn.wk.fpc
197 Re.ca
198 Re.lr
199 Pl.ib.wdm
200 Re.ca
201 Re.lr
202 Pl.iv.wdm
203 Pl.iv
204 Pl.lp
205 Kn.wk.fpc
206-209 Re.ca.al
210 Rf.meo
211 Pl.iv
212 Pl.lp
213 Rs.rtp.qt
214 As.bcs.al
215-216 Re.ca.al
217 Re.lr.al
218 Co.ic
219 Pl.iv
220 As.bcs.al
221-222 Re.ca.al
223 Re.lr.al
224-226 Co.ic
227-228 Re.oe.F
229 Re.oe.E
230 Pl.iv
231 Re.lr
232 Pl.iv
233 Rs.rtp.qt
234 Re.sp
235 Re.lr
236 Re.sp
237 Re.lr
238 Pl.gp
239-242 Rs.rae
243-244 Re.lr
245-247 Co.ic
248 Pl.iv
249 Re.sp
250 Re.lr
251 Re.sp
252 Re.lr
253 Pl.iv
254-259 Rs.rtp.ot
260 Re.oe.E
261 Re.oe.C
262 Re.oe.E
263 Re.sp.iot
264 Pl.iv
265 Re.sp
266 Kn.wk
267 Re.ca.al
268 Re.lr.al
269 Re.sp
270 As.bcs.al
271 Re.ca.al
272-273 Re.lr.al
274 As.bcs.al
275 Re.ca.al
276-277 Re.lr.al
278 As.bcs.al
279 Re.ca.al
280-281 Re.lr.al
282 Co.ic
283 Re.oe.A
284 Rf.meo.B
285 Rf.meo.C
286 Rf.meo.E
287 Re.oe.E
288 Pl.iv.wdm
289-290 Rs.rtp.qt
291-292 Re.lr
293 Re.sp
294 Re.lr
295 As.bcs
296 Re.oe.A
297 Re.lr
298 Re.oe.E
299 Pl.gp
300-301 Re.oe.F
302 Rs.rtp.ot
303 Re.oe.C
304-305 Rs.rtp.ot
306-307 Re.oe.E
308 Pl.lp
309 Re.oe.C
310 Re.oe.E
311 Re.co.ovo
312 Pl.iv
313-315 Kn.cod.wp
316 Re.lr
317-318 Kn.cod.wp
319 Re.lr
320-321 Kn.cod.wp
322 Re.lr
323-324 Co.ic
325 Pl.gp
326 Kn.wk.fpc
327-328 Kn.sk.ro
329 As.bcs
330-333 Ex.nel.al
334 Re.lr
335 Rs.rtp.ot
336 Rf.meo.C
337 Rs.rtp.ot
338 Re.oe.E
339 Pl.gp
340 Pl.iv
341 Kn.co
342-344 Re.lr
345-346 Ex.re
347-348 Co.ic
349 Rs.rae
350-351 Co.ic
352 Pl.iv
353 Re.oe.F
354 Re.oe.E
355 Re.co.ovo
356 Co.ic
357 Pl.gp
358-359 Pl.lp
360 Rs.rae
361-362 Pl.lp
363-364 Rs.rae
365-366 Pl.lp
367-370 Rs.rae
371-372 Pl.lp
373 Rs.rae
374-375 Pl.lp
376 Rs.rae
377-378 Pl.lp
379-380 Rs.rae
381-382 Pl.lp
383-385 Rs.rae
386 Pl.atc
387 Co.fa
