c0 Pl.iv.wdm+Kn.wk.fpc
c1 Pl.lp
c2-4 Rs.rtp.qt
c5 Pl.iv.wdm
c6 Pl.lp
c7 Re.co.pvo
c8 Pl.lp
c9-11 Rs.rtp.qt
c12 Re.lr
c13 Re.lr.al
c14-16 Ex.nel.al
c17 Co.ic
c18 Rs.rae
c19 Pl.lp
c20-25 Rs.rtp.ot
c26 Co.ic
c27 Re.oe.E
c28 Pl.iv.wdm+Re.sp.iot
c29 Re.sp.iot
c30 Kn.wk
c31 Pl.lp
c32-34 Kn.wk.fpc
c35 Pl.lp
c36 Re.co.pvo
c37 Co.ic
c38 Rs.rae
c39 Co.ic
c40 Pl.iv
c41 Re.cr
c42 Re.sp.iot
c43 Re.oe.E
c44 Pl.lp
c45 Re.ca.al
c46 Co.ic
c47 Rs.rae
c48-49 Pl.gp
c50-56 Pl.lp
c57 Pl.lp
c58-63 Rf.meo.A
c58 Rf.meo.A
c59 Rf.meo.B
c60 Rf.meo.C
c61 Rf.meo.D
c62 Rf.meo.E
c63 Rf.meo.F
c64 Rf.meo
c65 Pl.lp
c66 Re.sp.iot
c67 Re.sp.iot
c68 Kn.sk.ro
c69 Re.lr
c70 Pl.lp
c71 Re.lr
c72 Re.sp.iot
c73 Co.ic
c74 Pl.lp
c75-80 Pl.lp
c81 Pl.ao
c82 Pl.lp
c83 Pl.iv.wdm
c84-86 Rs.rtp.qt
c87 Re.sp.iot
c88 Re.sp.iot
c89 Re.lr
c90 Co.ic
c91 Co.ic
c92 Pl.lp
c93 Pl.lp
c94-95 Co.ic
c96 Rf.meo
c97 Pl.ao
c98 Rf.meo
c99 Pl.ao
c100 Pl.lp
c101 Pl.iv
c102 Kn.wk
c103 Re.lr
c104 Rf.meo
c105 Rf.meo
c106 Pl.ao
