0 Pl.iv.wdm+Re.lr
1 Pl.lp
2-4 Rs.rtp.qt
5 Pl.iv.wdm+Kn.wk.fpc
6-8 Kn.wk.fpc
9 Pl.lp
10 Rs.rtp.qt+Re.lr
11 Rf.eoi
12 Re.lr.al
13-18 Ex.nel.al
19 Co.ic
20 Pl.gp
21-26 Rs.rtp.ot
27 Re.oe.C
28 Re.oe.E
29 Re.oe.C
30 Pl.iv.wdm
31 Re.lr
32-33 Rs.rae
34 Pl.iv
35-37 Rs.rtp.qt
38-39 Rs.rae
40 Pl.lp
41 Rs.rtp.ot
42-43 Rf.meo.C
44 Pl.iv
45 Re.lr
46 Re.sp.iot
47 Kn.wk
48 Co.ic
49-50 Pl.gp
51-57 Pl.lp
58 Rf.meo.A
59 Rf.meo.B
60 Rf.meo.D
61 Rf.meo.E
62 Rf.meo.F
63 Co.ic
64 Pl.iv.wdm
65-66 Re.sp
67 Co.ic
68 Pl.gp
69-73 Pl.lp
74 Pl.iv
75 Pl.lp
76-77 Re.ca.al
78 Pl.lp
79-80 Rs.rae
81 Pl.lp
82-83 Re.ds.al
84 Pl.lp
85-86 Re.ca.al
87-88 Co.ic
89 Rs.rtp.ot
90 Rf.meo.C
91 Pl.ao
92 Pl.gp
93 Re.oe.E
94 Re.oe.E
95 Re.lr
96 Rf.meo.C
97 Co.ic
98 Pl.gp
99-104 Rs.rae
105-106 Co.ic
107 Rf.meo
108 Pl.ao
109 Pl.gp
110 Pl.iv.wdm
111 Pl.iv
112-113 Rs.rtp.qt
114 Rs.rtp.qt+Re.lr
115 Re.sp.iot
116 Kn.wk
117 Re.oe.C
118-119 Rf.meo
120 Pl.ao
121 Pl.gp
122-124 Pl.lp
125 Rf.meo
126 Pl.ao
127 Pl.iv
128 Pl.iv
129 Rs.rtp.ot
130 Rf.meo.C
131 Pl.ao
132 Pl.gp
133 Re.oe.F
134 Re.oe.C
135 Rf.meo.C
136 Pl.atc
137 Co.ic
138 Rf.meo
139 Pl.gp
140 Kn.wk
141 Rf.eoi
142-143 Pl.ao
144 Rs.rae
145-146 Co.ic
147 Rf.meo
148 Pl.iv
149-150 Rs.rtp.qt
151 Rs.rtp.qt+Re.co.pvo
152-154 Rf.meo
155-156 Pl.ao
157-164 Rs.rae
165-166 Co.fa
167-168 Pl.ao
169 Pl.gp
170 Pl.lp
171-172 Rs.rtp.afi
173 Rf.meo
174 Pl.ao
