0 Pl.iv.wdm+Kn.wk.fpc
1 Pl.lp
2-4 Rs.rtp.qt
5 Pl.iv.wdm
6 Re.co.pvo+Kn.wk.fpc
7 Rs.rae
8 Pl.lp
9-11 Rs.rtp.qt
12 Co.ic
13 Re.lr.al
14-17 Ex.nel.al
18 Rf.meo
19 Co.ic
20 Rf.eoi
21 Kn.wk
22 Kn.sk.ro
23 Pl.lp
24-29 Rs.rtp.ot
30 Re.oe.C
31 Re.oe.E
32 Re.oe.C
33 Pl.iv.wdm
34-35 Re.sp.iot
36 Re.lr.al
37 Pl.lp
38 Rs.rtp.ot
39 Re.sp.iot
40 Kn.wk
41 Re.oe.C
42 Pl.lp
43-44 Re.ds.al
45-47 Re.ca.al
48 Co.ic
49 Rs.rae
50 Pl.lp
51-52 Kn.wk.fpc
53-54 Re.ca.al
55 Re.oe.C
56 Rf.meo.C
57 Re.oe.E
58 Re.co.ovo
59 Co.ic
60-61 Pl.gp
62 Pl.lp
63-64 Re.ds.al
65 Rs.rae
66 Pl.lp
67 Rs.rae
68 Pl.lp
69 Pl.lp
70 Rs.rtp.ot
71 Pl.lp
72 Pl.lp
73-74 Re.sp
75-76 Rf.meo.C
77 Pl.lp
78-79 Pl.lp
80 Pl.lp
81 Pl.lp
82-83 Pl.lp
84 Pl.lp
85 Rs.rtp.ot
86 Rf.meo
87 Pl.lp
88 Co.ic
89 Pl.lp
90-91 Rs.rae
92 Kn.wk.fpc
93 Re.ca.al
94-96 Rs.rae
97 Co.ic
98 Pl.lp
99 Co.ic
100 Pl.lp
101-105 Rf.meo
106 Pl.lp
107 Re.oe.F
108 Re.oe.F
109 Re.sp.iot
110 Rf.eoi
111 Pl.ao
112 Rf.meo
113 Pl.lp
114 Pl.iv.wdm
115 Re.lr
116 Rf.meo
117 Pl.ao
118 Pl.lp
119-124 Pl.lp
125 Rf.meo
126 Pl.ao
127 Pl.gp
128 Pl.lp
129 Re.ca.al
130 As.bcs.al
131 Re.ca.al
132 Re.lr.al
133 As.bcs.al
134 Re.ca.al
135 Re.lr.al
136 Co.ic
137 Rf.meo.C
138 Pl.ao
139 Rf.meo
140 Pl.lp
141-143 Rs.rtp.qt
144 Rf.meo
145 Pl.ao
146 Pl.ao
147-148 Rs.rae
149 Kn.wk.fpc
150-151 Rs.rae
152 Pl.lp
153 Rs.rae
154 Pl.lp
155-158 Rs.rae
159 Rs.rae
160-162 Rs.rae
163 Pl.lp
164 Co.fa
165 Rf.meo
166 Pl.ao
167 Pl.ao
168 Pl.lp
169 Pl.lp
170-171 Rs.rtp.afi
172 Rf.meo
173 Rf.meo
174 Pl.ao
