0 Re.co
1 Pl.lp+Rs.rtp.qt
2 Pl.lp
3 Kn.wk.fpc
4 Rs.rtp.qt
5 Pl.gp
6-7 Pl.gp
8 Pl.lp
9-10 Kn.wk.fpc
11 Re.ca.al
12 Co.ic
13 Pl.lp
14-15 Rs.rae
16 Pl.lp
17-19 Re.ca.al
20 As.aam
21-24 Re.lr.al
25 Pl.gp
26 Pl.gp
27 Re.sp.iot
28 Pl.lp
29 Rs.rtp.qt+Re.lr.al
30 Co.ic
31 Re.lr.al
32 Co.ic
33 Pl.gp
34 Pl.gp
35-36 Re.sp
37 Pl.lp
38-42 Rs.rtp.ot
43 Co.ic
44-45 Rs.rae
46 Pl.lp
47 Rs.rae
48 Co.ic
49 Re.oe.E
50 Kn.wk.fpc
51 Rf.eoi
52 Pl.iv
53-54 Kn.wk.fpc
55 Pl.lp
56 Rs.rtp.qt
57 Pl.lp
58-59 Co.ic
60 Re.lr
61 Re.lr
62 Re.sp
63 Re.lr
64 Kn.sk.ro
65 As.bcs
66 Co.ic
67 As.bcs
68 Co.ic
69 Pl.lp
70 Rs.rtp.ot
71 Re.sp.iot
72 Re.oe.A
73 Pl.lp
74 Rs.rtp.ot+Re.oe.E
75 Re.cr
76 Pl.iv.wdm+Rs.rtp.qt
77-78 Re.lr.al
79 Pl.gp
80 Pl.lp
81-82 Co.ic
83 Pl.lp
84 As.bcs
85 Co.ic
86 Pl.lp
87-88 Rs.rtp.ot+Re.oe.A
89 Rs.rtp.ot+Re.oe.B
90 Rs.rtp.ot+Re.oe.C
91 Rs.rtp.ot+Re.oe.E
92 Pl.lp
93 Kn.wk.fpc
94-95 Rs.rae
96-97 Re.lr
98 Pl.lp
99 Kn.cod
100-104 Ex.re
105 Pl.lp
106 Re.lr
107 Pl.lp
108 Rs.rtp.ot
109 Re.oe.C
110 Re.oe.E
111 Pl.lp
112 Re.lr
113 Re.lr
114-115 Re.sp.iot
116-119 Re.sp.iot
120 Pl.lp
121 Pl.lp
