0 Pl.iv.wdm+Re.ca.al
1-2 Re.lr.al
3 Pl.iv.wdm+Rs.rtp.qt
4 Rs.rtp.qt
5 Kn.wk.fpc
6 Re.co.pvo
7-8 Pl.gp
9 Pl.lp
10 Rs.rtp.qt
11 Pl.lp
12 Rs.rtp.qt
13 Pl.lp
14 Rs.rtp.qt
15 Co.ic
16-17 Re.ca.al
18 Re.lr.al
19 Pl.lp
20 Ex.nel.al
21-22 Pl.gp
23 Rs.rtp.ot
24-25 Re.oe.A
26 Re.sp.iot
27 Pl.iv
28 Kn.wk.fpc
29 Re.ca.al
30 Re.lr.al
31 Kn.wk.fpc
32 Re.sp.iot
33 Rf.eoi
34 Pl.gp
35-40 Rs.rtp.ot
41 Pl.gp
42 Pl.lp
43 Co.ic
44 Re.oe.E
45 Pl.lp
46 Rs.rtp.ot
47 Re.oe.C
48-49 Kn.wk.fpc
50 Pl.iv
51 Rs.rtp.qt
52-53 As.aau
54-55 Pl.gp
56 Pl.lp
57-59 Kn.wk.fpc
60 Pl.lp
61-63 Rs.rtp.qt
64 Rs.rae
65-66 Pl.gp
67 Re.lr
68 Pl.lp
69 Re.oe.C
70 Re.oe.E
71 Pl.gp
72 Kn.wk
73-74 Re.lr
75 Re.oe.C
76 Pl.iv.wdm
77 Kn.co
78 Pl.lp
79 Re.ca.al
80 Re.lr.al
81 Co.ic
82 Pl.gp
83 Kn.wk.fpc
84 Re.co.pvo
85 Re.oe.E
86 Re.oe.A
87 Pl.gp
88 Rf.meo.C
89 Re.oe.C
90 Rf.eoi
91 Pl.gp
92 Re.lr.al
93 Re.ca.al
94 Re.lr.al
95-96 Co.ic
97 Pl.gp
98-99 Rs.rtp.ot
100 Re.co.ovo
101 Re.oe.C
102-104 Re.oe.C
105 Pl.gp
106-107 Re.lr
108-109 Re.sp.iot
110-111 Re.lr
112 Pl.gp
113-115 Re.lr
116 Re.oe.A
117 Co.ic
118 Rs.rtp.ot
119-121 Re.oe.C
122 Rs.rtp.ot
123-124 Re.oe.E
125 Pl.gp
126 As.aau
127 Kn.co
128 Pl.iv.wdm
129 Rf.meo.C
130 Re.oe.C
131-132 Pl.gp
133-134 Kn.wk.fpc
135-136 Re.lr
137 Co.ic
138 Pl.gp
139 Re.oe.E
140 Re.oe.A
141 Pl.gp
142-143 Re.lr
144 Pl.gp
145 Re.lr
146 Re.ca.al
147-148 Re.lr
149-150 Pl.gp
151 Re.oe.A
152 Re.oe.E
153 Pl.gp
154 Rs.rtp.afi
155-157 Re.lr
158 Kn.co
159 Re.lr.al
160 Rf.meo.C
161-162 Re.oe.C
163 Pl.iv.wdm
164 Pl.iv
165 Rs.rtp.qt
166-167 Re.lr
168-169 Re.lr
170 Pl.gp
171-173 Rs.rae
174-175 Co.ic
176 Pl.gp
177 Rs.rtp.qt
178 Re.co.pvo
179 Pl.gp
180 Re.sp
181-182 Re.lr
183-184 Pl.gp
185 Rs.rtp.ot
186-187 Rf.meo.C
188 Rf.meo.E
189 Re.oe.A
190 Re.oe.E
191 Pl.gp
192-194 Re.lr
195-198 Re.lr
199 Co.ic
200 Pl.gp
201 Rs.rtp.qt
202-204 Re.sp.iot
205 Re.oe.A
206 Re.lr
207 Pl.gp
208 Re.oe.C
209 Re.oe.E
210 Rf.meo.E
211 Pl.gp
212-213 Re.lr
214-215 Re.sp.iot
216-217 Re.lr
218 Pl.gp
219 Kn.sk.ec
220 Re.lr
221 Rs.rtp.ot
222 Re.sp.iot
223-224 Re.lr
225-229 Co.ic
230-231 Re.co.ovo
232 Kn.wk.fpc
233 Re.oe.E
234 Re.oe.C
235 Pl.gp
236 Kn.wk.fpc
237-238 Re.lr
239 Pl.gp
240 As.bcs.al
