0 Pl.iv.wdm
1 Pl.lp
2-4 Rs.rtp.qt
5 Re.co.pvo
6 Re.lr.al
7 Re.ca.al
8 Pl.lp
9-11 Ex.nel.al
12 Pl.lp
13-15 Ex.nel.al
16 Pl.lp
17-19 Ex.nel.al
20-21 Pl.gp
22-23 Re.oe.A
24-26 Re.oe.B
27 Re.oe.C
28 Rf.meo.D
29 Re.oe.E
30 Rs.rtp.ot
31-33 Pl.gp
34 Pl.lp
35 Re.lr.al
36-37 Co.ic
38 Pl.lp
39 Kn.wk
40 Pl.lp
41 Rs.rtp.qt+Re.co.pvo
42 Pl.lp
43-46 Kn.wk.fpc
47 Re.co.pvo
48 Co.ic
49 Pl.gp
50 As.bcs
51 Re.lr.al
52 As.bcs
53 Re.lr.al
54 Pl.gp+Rs.rtp.ot
55-56 Re.oe.C
57 Pl.gp+Rs.rtp.ot
58-59 Re.oe.E
60 Re.sp.iot
61 Pl.iv
62 Rs.rtp.qt
63 Re.oe.A
64 Re.oe.E
65 Re.oe.F
66 Pl.iv
67 Pl.lp
68-70 Kn.wk.fpc
71 Pl.lp
72-74 Rs.rtp.qt
75 Re.co.pvo
76 Re.sp.iot
77-78 As.bcs
79 Pl.gp
80 Rf.eoi
81 Rs.rtp.ot
82 Rf.meo.A
83 Rs.rtp.ot
84 Rf.meo.B
85 Rs.rtp.ot
86 Rf.meo.C
87 Rs.rtp.ot
88 Rf.meo.E
89 Pl.gp
90 Re.sp.iot
91 R
