0 Pl.gp+Re.lr.al
1-2 Re.sp.iot
3 Re.oe.A
4 Re.oe.C
5 Pl.lp
6 Rs.rtp.ot
7 Rf.meo.C
8 Pl.gp
9 Re.lr.al
10 Co.ic
11 Pl.iv
12 Re.un
13 Kn.co
14 Re.lr.al
15 Pl.gp
16 Re.oe.A
17 Re.oe.C
18 Rf.meo.C
19 Pl.gp
20 Kn.cod.wp
21 Re.lr.al
22 Re.oe.E
23 Re.co.ovo
24 Pl.iv.wdm
25 Re.sp.iot
26 Pl.lp
27 Rs.rtp.qt
28 Pl.lp
29 As.aam.mo
30-31 Re.ca.al
32 Re.lr.al
33-34 Re.ca.al
35 Re.lr.al
36 Co.ic
37-38 Re.oe.A
39 Rs.rtp.ot
40 Re.oe.C
41 Pl.gp
42 Rs.rtp.ot
43 Re.oe.E
44 Rs.rtp.ot
45-46 Re.oe.C
47 Re.hwa.un
48 Re.hwa.er
49 Pl.iv
50 Re.ca.al
51-52 Re.lr.al
53 Pl.gp+Re.sp.iot
54 Co.ic
55 Kn.wk.fpc
56-57 Re.oe.C
58 Pl.iv
59 Kn.cod
60 Re.lr.al
61 As.aau
62 Rf.eoi
63 Pl.gp
64 Rs.rtp.ot
65 Rf.meo.C
66 Re.oe.C
67 Pl.gp
68 Re.oe.F
69 Re.oe.C
70 Pl.gp
71 Re.sp.iot
72 Pl.lp
73-75 Rs.rae
76 Pl.lp
77 Rs.rae
78 Pl.lp
79-81 Rs.rae
82 Co.ic
83 Re.oe.A
84 Re.oe.C
85 Pl.gp
86 Re.sp.iot
87-88 Kn.sk.ro
89 Re.oe.C
90 Pl.gp
91-92 Pl.lp
93 Rs.rae
94 Pl.lp
95 Rs.rae
96 Pl.lp
97-98 Rs.rae
99 Pl.lp
100 Rs.rae
101 Pl.lp
102 Rs.rae
103 Pl.lp
104 Rs.rae
105 Pl.iv
106-108 Re.lr.al
109-110 Re.hwa.er
111 Co.ic
112 Pl.gp
113 Kn.cod.wp
114 Re.oe.E
115 Re.co.ovo
116 Re.oe.E
117-118 Re.oe.C
119 Kn.co
120 Re.co.ovo
121 Pl.iv
122 As.bcs.al
123-124 Re.ca.al
125 Pl.iv.wdm
126 Re.ca.al
127 Re.lr.al
128 Pl.iv.wdm
129 As.bcs.al
130-131 Re.ca.al
132-133 Re.ca.al
134-135 Re.lr.al
136 Pl.iv.wdm+As.bcs.al
137 Re.ca.al
138 Pl.iv.wdm+Re.ca.al
139 Re.lr.al
140 Co.ic
141 Pl.iv.wdm
142 As.bcs.al
143-144 Re.ca.al
145 Re.lr.al
146 Re.lr.al
147 Co.ic
148 Re.oe.A
149 Co.ic
150 Pl.gp
151 Rf.meo.A
152 Rf.meo.B
153 Rf.meo.C
154 Re.oe.C
155 Rf.meo.D
156 Rf.meo.E
157 Rf.meo.F
158 Co.ic
159 Pl.ao
160-161 Pl.lp
162 Rs.rae
163-164 Pl.lp
165 Rs.rae
166-167 Pl.lp
168-169 Rs.rae
170-171 Pl.lp
172-173 Rs.rae
174-175 Pl.lp
176-177 Rs.rae
178 Pl.iv.wdm
179 Pl.iv
180 Re.ca.al
181 Re.lr.al
182 Re.ca.al
183 Re.lr.al
184 Co.ic
185 Re.oe.C
186 Pl.iv.wdm+Rs.rae
187-188 Rs.rae
189-190 Co.ic
191 Re.sp.iot
192 Re.hwa.mr
193 Re.hwa.er
194 Co.ic
195 Pl.lp
196-198 Re.lr.al
199 Re.ca.al
200 Pl.atc
201 Co.fa
