m,s_cut,last_node,last_node_label,source_next_node,source_next_label,next_opener_rule
0,11,Rs₀³(2),Restatement,Pl₁(2),Planning,R1
1,15,Kn₁(2),Knowledge,Pl₂,Planning,R1
2,18,[Re+As]₂,Reasoning,[Pl+Re]₃,Planning,R4
3,19,[Pl+Re]₃,Planning,Pl₄¹,Planning,R1
4,41,Co₄,Conclusion,Pl₅(2),Planning,R1
5,52,Rf₅³,Reflection,Pl₆¹,Planning,R1
6,70,Re₆⁵(2),Reasoning,Pl₇,Planning,R4
7,74,Rf₇,Reflection,Pl₈,Planning,R1
8,76,Kn₈,Knowledge,Pl₉,Planning,R1
9,92,Re₉³(2),Reasoning,Pl₁₀,Planning,R1
10,95,Rf₁₀,Reflection,Pl₁₁(3),Planning,R1
11,99,Co₁₁,Conclusion,Pl₁₂,Planning,R4
12,104,Co₁₂,Conclusion,Pl₁₃¹(4),Planning,R1
13,116,Co₁₃,Conclusion,Pl₁₄,Planning,R1
14,119,Co₁₄,Conclusion,Pl₁₅(8),Planning,R1
15,133,Co₁₅,Conclusion,Pl₁₆(7),Planning,R1
16,143,Rf₁₆,Reflection,Pl₁₇(2),Planning,R1
17,151,Co₁₇²,Conclusion,Pl₁₈,Planning,R1
18,153,Co₁₈,Conclusion,Pl₁₉,Planning,R1
19,165,Co₁₉(2),Conclusion,Pl₂₀,Planning,R1
20,167,Rf₂₀,Reflection,Pl₂₁(2),Planning,R1
21,173,Rf₂₁,Reflection,Pl₂₂(2),Planning,R1
22,176,Co₂₂,Conclusion,Pl₂₃(2),Planning,R1
23,178,Pl₂₃(2),Planning,Pl₂₄,Planning,R4
24,181,Rf₂₄,Reflection,Pl₂₅,Planning,R1
25,186,Rf₂₅²,Reflection,Pl₂₆(2),Planning,R1
26,192,Rf₂₆(2),Reflection,[Pl+Rs]₂₇,Planning,R1
27,198,Rf₂₇,Reflection,Pl₂₈(3),Planning,R1
28,203,Co₂₈,Conclusion,Pl₂₉,Planning,R1
29,206,Rf₂₉(2),Reflection,Pl₃₀(2),Planning,R1
30,212,Co₃₀,Conclusion,Pl₃₁,Planning,R1
31,214,Co₃₁,Conclusion,Pl₃₂(2),Planning,R1
32,219,Rs₃₂(3),Restatement,Pl₃₃(3),Planning,R1
33,227,Rf₃₃,Reflection,Pl₃₄(2),Planning,R1
34,244,Co₃₄,Conclusion,Co₃₅(2),Conclusion,R3
35,246,Co₃₅(2),Conclusion,Pl₃₆,Planning,R1
36,250,Rf₃₆(3),Reflection,Pl₃₇(3),Planning,R1
