trace_id,m,prefix_id,block_end_s,last_node_label,n,n_labeled,n_failed,next_Planning,next_Reasoning,next_Reflection,next_Knowledge,next_Restatement,next_Assumption,next_Example,next_Conclusion,opens_block,first_is_wait
shared,cut0,rb_cut0,,,25,25,0,25,0,0,0,0,0,0,0,25,0
c004,0,rb_c004_B00,7,Restatement,25,25,0,25,0,0,0,0,0,0,0,25,0
c004,1,rb_c004_B01,12,Restatement,25,25,0,21,1,0,3,0,0,0,0,21,0
c004,2,rb_c004_B02,14,Planning,25,25,0,0,18,0,4,0,3,0,0,3,0
c004,3,rb_c004_B03,22,Reasoning,25,24,1,3,8,0,0,0,13,0,0,16,0
c004,4,rb_c004_B04,30,Reasoning,25,25,0,0,1,0,0,0,24,0,0,24,0
c004,5,rb_c004_B05,35,Reasoning,25,25,0,3,11,0,0,0,11,0,0,14,0
c004,6,rb_c004_B06,41,Reasoning,25,25,0,3,16,0,2,0,4,0,0,7,3
c004,7,rb_c004_B07,42,Planning,25,25,0,23,0,0,0,2,0,0,0,20,11
c004,8,rb_c004_B08,57,Example,25,24,1,24,0,0,0,0,0,0,0,24,0
c004,9,rb_c004_B09,78,Reflection,25,25,0,25,0,0,0,0,0,0,0,25,0
c004,10,rb_c004_B10,97,Reasoning,25,25,0,22,3,0,0,0,0,0,0,21,0
c004,11,rb_c004_B11,106,Reasoning,25,25,0,14,9,2,0,0,0,0,0,13,0
e036,0,rb_e036_B00,11,Restatement,25,25,0,25,0,0,0,0,0,0,0,25,0
e036,1,rb_e036_B01,15,Knowledge,25,25,0,13,8,0,1,3,0,0,0,10,6
e036,2,rb_e036_B02,18,Reasoning,25,25,0,24,1,0,0,0,0,0,0,24,23
e036,3,rb_e036_B03,19,Planning,25,25,0,25,0,0,0,0,0,0,0,15,0
e036,4,rb_e036_B04,41,Conclusion,25,25,0,14,1,0,0,9,0,0,1,12,0
e036,5,rb_e036_B05,52,Reflection,25,25,0,25,0,0,0,0,0,0,0,24,15
e036,6,rb_e036_B06,70,Reasoning,25,25,0,25,0,0,0,0,0,0,0,25,25
e036,7,rb_e036_B07,74,Reflection,25,25,0,17,2,2,2,2,0,0,0,15,0
