trace_id,m,prefix_id,block_end_s,p_aT,p_prev,delta,delta_low,delta_high,tk_block,trivial
c004,0,rb_c004_B00,7,0.6400,0.1600,0.4800,0.2103,0.6645,139,False
c004,1,rb_c004_B01,12,0.3600,0.6400,-0.2800,-0.5028,-0.0045,60,False
c004,2,rb_c004_B02,14,0.5600,0.3600,0.2000,-0.0717,0.4342,13,False
c004,3,rb_c004_B03,22,0.4400,0.5600,-0.1200,-0.3651,0.1477,91,False
c004,4,rb_c004_B04,30,0.2800,0.4400,-0.1600,-0.3938,0.1015,92,False
c004,5,rb_c004_B05,35,0.2800,0.2800,0.0000,-0.2390,0.2390,79,True
c004,6,rb_c004_B06,41,0.6800,0.2800,0.4000,0.1231,0.6017,87,False
c004,7,rb_c004_B07,42,0.4800,0.6800,-0.2000,-0.4328,0.0695,25,False
c004,8,rb_c004_B08,57,0.4000,0.4800,-0.0800,-0.3285,0.1834,211,False
c004,9,rb_c004_B09,78,0.9600,0.4000,0.5600,0.3125,0.7292,321,False
c004,10,rb_c004_B10,97,0.9600,0.9600,0.0000,-0.1589,0.1589,266,True
c004,11,rb_c004_B11,106,1.0000,0.9600,0.0400,-0.0972,0.1954,109,False
e036,0,rb_e036_B00,11,0.9600,0.7200,0.2400,0.0327,0.4385,147,False
e036,1,rb_e036_B01,15,0.8000,0.9600,-0.1600,-0.3541,0.0312,59,False
e036,2,rb_e036_B02,18,0.5600,0.8000,-0.2400,-0.4597,0.0182,23,False
e036,3,rb_e036_B03,19,0.8000,0.5600,0.2400,-0.0182,0.4597,52,False
e036,4,rb_e036_B04,41,0.9600,0.8000,0.1600,-0.0312,0.3541,219,False
e036,5,rb_e036_B05,52,0.7600,0.9600,-0.2000,-0.3971,-0.0005,204,False
e036,6,rb_e036_B06,70,0.9600,0.7600,0.2000,0.0005,0.3971,255,False
e036,7,rb_e036_B07,74,1.0000,0.9600,0.0400,-0.0972,0.1954,75,False
