trace_id,m,prefix_id,n,count_A,count_B,count_C,count_D,count_E,count_F,count_unresolved,p_C,p_C_low,p_C_high,p_E,p_E_low,p_E_high,block_end_s,p_aT,p_aT_low,p_aT_high
shared,nothink,rb_nothink,100,32,0,49,0,19,0,0,0.4900,0.3942,0.5865,0.1900,0.1251,0.2778,,,,
shared,cut0,rb_cut0,25,0,2,4,0,18,0,1,0.1600,0.0640,0.3465,0.7200,0.5242,0.8572,,,,
c004,0,rb_c004_B00,25,1,1,16,0,2,0,5,0.6400,0.4452,0.7975,0.0800,0.0222,0.2497,7,0.6400,0.4452,0.7975
c004,1,rb_c004_B01,25,1,0,9,0,8,0,7,0.3600,0.2025,0.5548,0.3200,0.1721,0.5159,12,0.3600,0.2025,0.5548
c004,2,rb_c004_B02,25,0,0,14,0,6,0,5,0.5600,0.3707,0.7333,0.2400,0.1150,0.4343,14,0.5600,0.3707,0.7333
c004,3,rb_c004_B03,25,0,1,11,0,8,0,5,0.4400,0.2667,0.6293,0.3200,0.1721,0.5159,22,0.4400,0.2667,0.6293
c004,4,rb_c004_B04,25,0,0,7,0,11,0,7,0.2800,0.1428,0.4758,0.4400,0.2667,0.6293,30,0.2800,0.1428,0.4758
c004,5,rb_c004_B05,25,1,0,7,0,8,0,9,0.2800,0.1428,0.4758,0.3200,0.1721,0.5159,35,0.2800,0.1428,0.4758
c004,6,rb_c004_B06,25,0,0,17,1,2,0,5,0.6800,0.4841,0.8279,0.0800,0.0222,0.2497,41,0.6800,0.4841,0.8279
c004,7,rb_c004_B07,25,0,1,12,0,3,0,9,0.4800,0.3003,0.6650,0.1200,0.0417,0.2996,42,0.4800,0.3003,0.6650
c004,8,rb_c004_B08,25,0,0,10,0,8,1,6,0.4000,0.2340,0.5926,0.3200,0.1721,0.5159,57,0.4000,0.2340,0.5926
c004,9,rb_c004_B09,25,0,0,24,0,0,0,1,0.9600,0.8046,0.9929,0.0000,0.0000,0.1332,78,0.9600,0.8046,0.9929
c004,10,rb_c004_B10,25,0,0,24,0,0,0,1,0.9600,0.8046,0.9929,0.0000,0.0000,0.1332,97,0.9600,0.8046,0.9929
c004,11,rb_c004_B11,25,0,0,25,0,0,0,0,1.0000,0.8668,1.0000,0.0000,0.0000,0.1332,106,1.0000,0.8668,1.0000
e036,0,rb_e036_B00,25,0,0,1,0,24,0,0,0.0400,0.0071,0.1954,0.9600,0.8046,0.9929,11,0.9600,0.8046,0.9929
e036,1,rb_e036_B01,25,0,0,5,0,20,0,0,0.2000,0.0886,0.3913,0.8000,0.6087,0.9114,15,0.8000,0.6087,0.9114
e036,2,rb_e036_B02,25,1,0,10,0,14,0,0,0.4000,0.2340,0.5926,0.5600,0.3707,0.7333,18,0.5600,0.3707,0.7333
e036,3,rb_e036_B03,25,0,0,5,0,20,0,0,0.2000,0.0886,0.3913,0.8000,0.6087,0.9114,19,0.8000,0.6087,0.9114
e036,4,rb_e036_B04,25,0,0,1,0,24,0,0,0.0400,0.0071,0.1954,0.9600,0.8046,0.9929,41,0.9600,0.8046,0.9929
e036,5,rb_e036_B05,25,0,0,6,0,19,0,0,0.2400,0.1150,0.4343,0.7600,0.5657,0.8850,52,0.7600,0.5657,0.8850
e036,6,rb_e036_B06,25,0,0,0,0,24,1,0,0.0000,0.0000,0.1332,0.9600,0.8046,0.9929,70,0.9600,0.8046,0.9929
e036,7,rb_e036_B07,25,0,0,0,0,25,0,0,0.0000,0.0000,0.1332,1.0000,0.8668,1.0000,74,1.0000,0.8668,1.0000
