trace_id,m,condition,prefix_id,block_end_s,prefix_char_end,n,count_A,count_B,count_C,count_D,count_E,count_F,count_other,count_unresolved,p_hat,ci_low,ci_high,prompt_tokens,tk_block,mean_completion_tokens,cost_usd,stopped,think_reopened,timestamp
shared,nothink,nothink,rb_nothink,,0,100,32,0,49,0,19,0,32,0,,,,142,,2719.8,0.874886,False,0,2026-09-17T18:18:19
shared,cut0,cut0,rb_cut0,,0,25,0,2,4,0,18,0,2,1,,,,140,,4917.0,0.39448,False,0,2026-09-17T18:28:03
e036,0,cut,rb_e036_B00,11,467,25,0,0,1,0,24,0,0,0,0.96,0.8046,0.9929,287,147,2501.7,0.20243,False,0,2026-09-17T18:34:22
e036,1,cut,rb_e036_B01,15,681,25,0,0,5,0,20,0,0,0,0.8,0.6087,0.9114,346,59,2562.5,0.20777,False,0,2026-09-17T18:39:20
e036,2,cut,rb_e036_B02,18,729,25,1,0,10,0,14,0,1,0,0.56,0.3707,0.7333,369,23,2484.1,0.201678,False,0,2026-09-17T18:44:31
e036,3,cut,rb_e036_B03,19,897,25,0,0,5,0,20,0,0,0,0.8,0.6087,0.9114,421,52,2478.8,0.201675,False,0,2026-09-17T18:49:46
e036,4,cut,rb_e036_B04,41,1541,25,0,0,1,0,24,0,0,0,0.96,0.8046,0.9929,640,219,2065.6,0.170368,False,0,2026-09-17T18:54:10
c004,0,cut,rb_c004_B00,7,450,25,1,1,16,0,2,0,2,5,0.64,0.4452,0.7975,279,139,12654.1,1.014562,False,0,2026-09-17T18:54:19
e036,5,cut,rb_e036_B05,52,2288,25,0,0,6,0,19,0,0,0,0.76,0.5657,0.885,844,204,2600.8,0.214813,False,0,2026-09-17T18:59:55
e036,6,cut,rb_e036_B06,70,3201,25,0,0,0,0,24,1,1,0,0.96,0.8046,0.9929,1099,255,2295.2,0.192408,False,0,2026-09-17T19:05:19
e036,7,cut,rb_e036_B07,74,3523,25,0,0,0,0,25,0,0,0,1.0,0.8668,1.0,1174,75,2275.6,0.191437,True,0,2026-09-17T19:10:45
c004,1,cut,rb_c004_B01,12,626,25,1,0,9,0,8,0,1,7,0.36,0.2025,0.5548,339,60,12200.7,0.978766,False,0,2026-09-17T19:22:08
c004,2,cut,rb_c004_B02,14,673,25,0,0,14,0,6,0,0,5,0.56,0.3707,0.7333,352,13,10847.8,0.870637,False,0,2026-09-17T19:46:50
c004,3,cut,rb_c004_B03,22,874,25,0,1,11,0,8,0,1,5,0.44,0.2667,0.6293,443,91,12475.2,1.001557,False,0,2026-09-17T20:04:37
c004,4,cut,rb_c004_B04,30,1080,25,0,0,7,0,11,0,0,7,0.28,0.1428,0.4758,535,92,13190.2,1.059496,False,0,2026-09-17T20:28:32
c004,5,cut,rb_c004_B05,35,1264,25,1,0,7,0,8,0,1,9,0.28,0.1428,0.4758,614,79,12782.2,1.027488,False,0,2026-09-17T20:50:35
c004,6,cut,rb_c004_B06,41,1551,25,0,0,17,1,2,0,1,5,0.68,0.4841,0.8279,701,87,12362.1,0.994578,False,0,2026-09-17T21:08:04
c004,7,cut,rb_c004_B07,42,1648,25,0,1,12,0,3,0,1,9,0.48,0.3003,0.665,726,25,12239.6,0.984976,False,0,2026-09-17T21:35:26
c004,8,cut,rb_c004_B08,57,2269,25,0,0,10,0,8,1,1,6,0.4,0.234,0.5926,937,211,11360.2,0.916309,False,0,2026-09-17T21:59:22
c004,9,cut,rb_c004_B09,78,3535,25,0,0,24,0,0,0,0,1,0.96,0.8046,0.9929,1258,321,6736.6,0.548995,False,0,2026-09-17T22:12:58
c004,10,cut,rb_c004_B10,97,4393,25,0,0,24,0,0,0,0,1,0.96,0.8046,0.9929,1524,266,5085.8,0.419053,False,0,2026-09-17T22:20:57
c004,11,cut,rb_c004_B11,106,4762,25,0,0,25,0,0,0,0,0,1.0,0.8668,1.0,1633,109,4688.4,0.388133,True,0,2026-09-17T22:27:45
