trace_id,m,prefix_id,block_end_s,X,n,n_labeled,p_Planning,p_Reasoning,p_Reflection,p_Knowledge,p_Restatement,p_Assumption,p_Example,p_Conclusion,opens_block_frac,wait_frac,Y_source,p_Y_source,source_opens,opens_where_source_did,tv_corpus,tv_corpus_low,tv_corpus_high,tv_pooled_X,tv_pooled_X_low,tv_pooled_X_high
c004,0,rb_c004_B00,7,Restatement,25,25,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,Planning,1.0000,True,1.0000,0.6570,0.6570,0.6570,0.0533,0.0533,0.0533
c004,1,rb_c004_B01,12,Restatement,25,25,0.8400,0.0400,0.0000,0.1200,0.0000,0.0000,0.0000,0.0000,0.8400,0.0000,Planning,0.8400,True,0.8400,0.5871,0.5071,0.6271,0.1067,0.0133,0.2667
c004,2,rb_c004_B02,14,Planning,25,25,0.0000,0.7200,0.0000,0.1600,0.0000,0.1200,0.0000,0.0000,0.1200,0.0000,Assumption,0.1200,True,0.1200,0.4711,0.4711,0.5449,0.6667,0.6667,0.7067
c004,3,rb_c004_B03,22,Reasoning,25,24,0.1250,0.3333,0.0000,0.0000,0.0000,0.5417,0.0000,0.0000,0.6667,0.0000,Assumption,0.5417,True,0.6667,0.8394,0.7144,0.9644,0.3675,0.2425,0.4925
c004,4,rb_c004_B04,30,Reasoning,25,25,0.0000,0.0400,0.0000,0.0000,0.0000,0.9600,0.0000,0.0000,0.9600,0.0000,Assumption,0.9600,True,0.9600,0.9644,0.9644,0.9649,0.6987,0.6187,0.7387
c004,5,rb_c004_B05,35,Reasoning,25,25,0.1200,0.4400,0.0000,0.0000,0.0000,0.4400,0.0000,0.0000,0.5600,0.0000,Planning,0.1200,True,0.5600,0.8444,0.7244,0.9644,0.3725,0.2525,0.4925
c004,6,rb_c004_B06,41,Reasoning,25,25,0.1200,0.6400,0.0000,0.0800,0.0000,0.1600,0.0000,0.0000,0.2800,0.1200,Planning,0.1200,True,0.2800,0.7644,0.6444,0.9244,0.4637,0.3037,0.6237
c004,7,rb_c004_B07,42,Planning,25,25,0.9200,0.0000,0.0000,0.0000,0.0800,0.0000,0.0000,0.0000,0.8000,0.4400,Planning,0.9200,True,0.8000,0.8917,0.7717,0.9717,0.3333,0.3333,0.3600
c004,8,rb_c004_B08,57,Example,25,24,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,Planning,1.0000,True,1.0000,0.7459,0.7459,0.7459,0.0000,0.0000,0.0000
c004,9,rb_c004_B09,78,Reflection,25,25,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,Planning,1.0000,True,1.0000,0.4012,0.4012,0.4012,0.1067,0.1067,0.1067
c004,10,rb_c004_B10,97,Reasoning,25,25,0.8800,0.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8400,0.0000,Planning,0.8800,True,0.8400,0.5464,0.5464,0.5468,0.4076,0.2876,0.5276
c004,11,rb_c004_B11,106,Reasoning,25,25,0.5600,0.3600,0.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.5200,0.0000,Planning,0.5600,True,0.5200,0.4793,0.4793,0.5724,0.2714,0.2714,0.3837
e036,0,rb_e036_B00,11,Restatement,25,25,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,Planning,1.0000,True,1.0000,0.6570,0.6570,0.6570,0.0533,0.0533,0.0533
e036,1,rb_e036_B01,15,Knowledge,25,25,0.5200,0.3200,0.0000,0.0400,0.1200,0.0000,0.0000,0.0000,0.4000,0.2400,Planning,0.5200,True,0.4000,0.3505,0.1903,0.5122,0.0000,0.0400,0.2400
e036,2,rb_e036_B02,18,Reasoning,25,25,0.9600,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9600,0.9200,Planning,0.9600,True,0.9600,0.5464,0.5464,0.5468,0.4876,0.4076,0.5276
e036,3,rb_e036_B03,19,Planning,25,25,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000,Planning,1.0000,True,0.6000,0.9717,0.9717,0.9717,0.3600,0.3600,0.3600
e036,4,rb_e036_B04,41,Conclusion,25,25,0.5600,0.0400,0.0000,0.0000,0.3600,0.0000,0.0000,0.0400,0.4800,0.0000,Planning,0.5600,True,0.4800,0.3243,0.2122,0.5243,0.0000,0.0400,0.2400
e036,5,rb_e036_B05,52,Reflection,25,25,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9600,0.6000,Planning,1.0000,True,0.9600,0.4012,0.4012,0.4012,0.1067,0.1067,0.1067
e036,6,rb_e036_B06,70,Reasoning,25,25,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,Planning,1.0000,True,1.0000,0.5468,0.5468,0.5468,0.5276,0.5276,0.5276
e036,7,rb_e036_B07,74,Reflection,25,25,0.6800,0.0800,0.0800,0.0800,0.0800,0.0000,0.0000,0.0000,0.6000,0.0000,Planning,0.6800,True,0.6000,0.2162,0.1362,0.3612,0.2133,0.0800,0.4133
