trace_id,m,prefix_id,block_end_s,X,Y_source,p_Y_source,source_opens,opens_block_frac,opens_where_source_did
c004,0,rb_c004_B00,7,Restatement,Planning,1.0000,True,1.0000,1.0000
c004,1,rb_c004_B01,12,Restatement,Planning,0.8400,True,0.8400,0.8400
c004,2,rb_c004_B02,14,Planning,Assumption,0.1200,True,0.1200,0.1200
c004,3,rb_c004_B03,22,Reasoning,Assumption,0.5417,True,0.6667,0.6667
c004,4,rb_c004_B04,30,Reasoning,Assumption,0.9600,True,0.9600,0.9600
c004,5,rb_c004_B05,35,Reasoning,Planning,0.1200,True,0.5600,0.5600
c004,6,rb_c004_B06,41,Reasoning,Planning,0.1200,True,0.2800,0.2800
c004,7,rb_c004_B07,42,Planning,Planning,0.9200,True,0.8000,0.8000
c004,8,rb_c004_B08,57,Example,Planning,1.0000,True,1.0000,1.0000
c004,9,rb_c004_B09,78,Reflection,Planning,1.0000,True,1.0000,1.0000
c004,10,rb_c004_B10,97,Reasoning,Planning,0.8800,True,0.8400,0.8400
c004,11,rb_c004_B11,106,Reasoning,Planning,0.5600,True,0.5200,0.5200
e036,0,rb_e036_B00,11,Restatement,Planning,1.0000,True,1.0000,1.0000
e036,1,rb_e036_B01,15,Knowledge,Planning,0.5200,True,0.4000,0.4000
e036,2,rb_e036_B02,18,Reasoning,Planning,0.9600,True,0.9600,0.9600
e036,3,rb_e036_B03,19,Planning,Planning,1.0000,True,0.6000,0.6000
e036,4,rb_e036_B04,41,Conclusion,Planning,0.5600,True,0.4800,0.4800
e036,5,rb_e036_B05,52,Reflection,Planning,1.0000,True,0.9600,0.9600
e036,6,rb_e036_B06,70,Reasoning,Planning,1.0000,True,1.0000,1.0000
e036,7,rb_e036_B07,74,Reflection,Planning,0.6800,True,0.6000,0.6000
