scope,X,cuts,continuations,p_Planning,p_Reasoning,p_Reflection,p_Knowledge,p_Restatement,p_Assumption,p_Example,p_Conclusion,tv_corpus,tv_corpus_low,tv_corpus_high,corpus_Planning,corpus_Reasoning,corpus_Reflection,corpus_Knowledge,corpus_Restatement,corpus_Assumption,corpus_Example,corpus_Conclusion
pooled,Planning,3,75,0.6400,0.2400,0.0000,0.0533,0.0267,0.0400,0.0000,0.0000,0.6341,0.5275,0.7408,0.0283,0.3976,0.0504,0.1138,0.3129,0.0175,0.0220,0.0574
pooled,Reasoning,8,199,0.4724,0.2462,0.0101,0.0101,0.0000,0.2613,0.0000,0.0000,0.4912,0.4711,0.5423,0.4532,0.0005,0.0671,0.0950,0.0793,0.0351,0.0203,0.2495
pooled,Reflection,3,75,0.8933,0.0267,0.0267,0.0267,0.0267,0.0000,0.0000,0.0000,0.3229,0.2695,0.3745,0.5988,0.1747,0.0000,0.0250,0.0845,0.0058,0.0038,0.1075
pooled,Knowledge,1,25,0.5200,0.3200,0.0000,0.0400,0.1200,0.0000,0.0000,0.0000,0.3505,0.1905,0.5122,0.2718,0.5058,0.0313,0.0016,0.0560,0.0165,0.0049,0.1120
pooled,Restatement,3,75,0.9467,0.0133,0.0000,0.0400,0.0000,0.0000,0.0000,0.0000,0.6138,0.5871,0.6437,0.3430,0.3609,0.1109,0.0299,0.0068,0.0137,0.0085,0.1263
pooled,Example,1,24,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7459,0.7459,0.7459,0.2541,0.3852,0.0082,0.0000,0.0246,0.0000,0.0000,0.3279
pooled,Conclusion,1,25,0.5600,0.0400,0.0000,0.0000,0.3600,0.0000,0.0000,0.0400,0.3243,0.2122,0.5243,0.6320,0.1650,0.0864,0.0311,0.0612,0.0097,0.0000,0.0146
c004,Planning,2,50,0.4600,0.3600,0.0000,0.0800,0.0400,0.0600,0.0000,0.0000,0.4741,0.3965,0.6141,0.0283,0.3976,0.0504,0.1138,0.3129,0.0175,0.0220,0.0574
c004,Reasoning,6,149,0.3020,0.3221,0.0134,0.0134,0.0000,0.3490,0.0000,0.0000,0.6356,0.5550,0.7094,0.4532,0.0005,0.0671,0.0950,0.0793,0.0351,0.0203,0.2495
c004,Reflection,1,25,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4012,0.4012,0.4012,0.5988,0.1747,0.0000,0.0250,0.0845,0.0058,0.0038,0.1075
c004,Restatement,2,50,0.9200,0.0200,0.0000,0.0600,0.0000,0.0000,0.0000,0.0000,0.6071,0.5671,0.6370,0.3430,0.3609,0.1109,0.0299,0.0068,0.0137,0.0085,0.1263
c004,Example,1,24,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7459,0.7459,0.7459,0.2541,0.3852,0.0082,0.0000,0.0246,0.0000,0.0000,0.3279
e036,Planning,1,25,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9717,0.9717,0.9717,0.0283,0.3976,0.0504,0.1138,0.3129,0.0175,0.0220,0.0574
e036,Reasoning,2,50,0.9800,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5464,0.5464,0.5468,0.4532,0.0005,0.0671,0.0950,0.0793,0.0351,0.0203,0.2495
e036,Reflection,2,50,0.8400,0.0400,0.0400,0.0400,0.0400,0.0000,0.0000,0.0000,0.2962,0.2315,0.3612,0.5988,0.1747,0.0000,0.0250,0.0845,0.0058,0.0038,0.1075
e036,Knowledge,1,25,0.5200,0.3200,0.0000,0.0400,0.1200,0.0000,0.0000,0.0000,0.3505,0.1905,0.5122,0.2718,0.5058,0.0313,0.0016,0.0560,0.0165,0.0049,0.1120
e036,Restatement,1,25,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6570,0.6570,0.6570,0.3430,0.3609,0.1109,0.0299,0.0068,0.0137,0.0085,0.1263
e036,Conclusion,1,25,0.5600,0.0400,0.0000,0.0000,0.3600,0.0000,0.0000,0.0400,0.3243,0.2122,0.5243,0.6320,0.1650,0.0864,0.0311,0.0612,0.0097,0.0000,0.0146
